Frame,People_Detected
1,17
2,16
3,16
4,20
5,18
6,19
7,18
8,20
9,20
10,20
11,21
12,22
13,21
14,22
15,17
16,17
17,19
18,19
19,21
20,22
21,22
22,23
23,25
24,21
25,23
26,21
27,19
28,18
29,20
30,22
31,21
32,22
33,24
34,22
35,23
36,22
37,20
38,22
39,23
40,21
41,20
42,23
43,23
44,21
45,21
46,18
47,18
48,24
49,27
50,25
51,27
52,24
53,27
54,23
55,20
56,22
57,24
58,24
59,27
60,23
61,26
62,19
63,22
64,23
65,25
66,22
67,19
68,23
69,22
70,22
71,23
72,22
73,21
74,19
75,19
76,18
77,19
78,17
79,16
80,18
81,19
82,19
83,23
84,23
85,23
86,23
87,24
88,27
89,26
90,19
91,18
92,19
93,22
94,22
95,20
96,19
97,23
98,20
99,20
100,19
101,25
102,26
103,20
104,24
105,22
106,20
107,17
108,20
109,21
110,19
111,20
112,24
113,22
114,18
115,15
116,12
117,13
118,16
119,17
120,17
121,16
122,17
123,18
124,18
125,17
126,17
127,18
128,17
129,18
130,19
131,16
132,17
133,17
134,14
135,20
136,17
137,17
138,16
139,14
140,17
141,15
142,17
143,17
144,17
145,16
146,18
147,17
148,14
149,13
150,11
151,10
152,10
153,11
154,11
155,11
156,12
157,13
158,12
159,12
160,13
161,14
162,16
163,20
164,13
165,16
166,16
167,17
168,22
169,22
170,23
171,22
172,19
173,15
174,15
175,16
176,14
177,17
178,19
179,19
180,21
181,17
182,17
183,18
184,19
185,19
186,19
187,18
188,17
189,20
190,20
191,20
192,24
193,22
194,24
195,23
196,20
197,26
198,22
199,25
200,24
201,23
202,19
203,17
204,16
205,17
206,15
207,14
208,15
209,15
210,12
211,12
212,12
213,10
214,8
215,12
216,12
217,9
218,7
219,7
220,6
221,7
222,6
223,6
224,4
225,3
226,3
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,1
300,1
301,1
302,1
303,1
304,1
305,2
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,2
